grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
7202599,Task Order For a Study of a National Laboratory For         Theoretical Chemistry,Martin A Paul,National Research Council,50000.0,11/01/1971,Research project focused on Task Order For a Study of a National Laboratory For         Theoretical Chemistry at National Research Council.
7202600,Partial Support of the National Board on Graduate Education,Jeremy Taylor,National Research Council,50000.0,10/18/1971,Research project focused on Partial Support of the National Board on Graduate Education at National Research Council.
7202601,Application of Technology to Improve Productivity in the    Service Sector of the National Economy,Unknown Faculty,National Academy of Engineering,20000.0,10/01/1971,Research project focused on Application of Technology to Improve Productivity in the    Service Sector of the National Economy at National Academy of Engineering.
7202602,Task Order For an Exploratory Study Concerning    a CompreheNsive File on Science and Engineering   Doctorates,Unknown Faculty,National Research Council,32800.0,10/27/1971,Research project focused on Task Order For an Exploratory Study Concerning    a CompreheNsive File on Science and Engineering   Doctorates at National Research Council.
7202603,"Symposium on Foundations of the Electron Theory of Solids,  Leningrad and Moscow, Ussr, November 29 - December 11, 1971",Unknown Faculty,National Research Council,4867.0,11/15/1971,"Research project focused on Symposium on Foundations of the Electron Theory of Solids,  Leningrad and Moscow, Ussr, November 29 - December 11, 1971 at National Research Council."
7202604,A Study of Edible Legumes,Michael R Decarlo,National Research Council,5000.0,12/01/1971,Research project focused on A Study of Edible Legumes at National Research Council.
7202605,Support of the Committee on Photobiology,Russell B Stevens,National Research Council,10000.0,01/15/1972,Research project focused on Support of the Committee on Photobiology at National Research Council.
7202606,Support of a Workshop on Dynamics of the Mid- Atlantic Ridge,Unknown Faculty,National Academy of Sciences,36600.0,01/15/1972,Research project focused on Support of a Workshop on Dynamics of the Mid- Atlantic Ridge at National Academy of Sciences.
7202607,Advisory Conference on Excavation Technology,Jeremy Taylor,National Research Council,5000.0,02/15/1972,Research project focused on Advisory Conference on Excavation Technology at National Research Council.
7202608,Support of International Union of Radio Science,Unknown Faculty,National Research Council,20000.0,04/01/1972,Research project focused on Support of International Union of Radio Science at National Research Council.
